game_date,game_id,team,quarter,player,url,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg_pct,ft_pct,fg3_pct
2024-10-25,202410250HOU,HOU,Q3,Tari Eason,https://www.basketball-reference.com/boxscores/202410250HOU.html,4.33,3,3,2,2,0,0,1,0,1,0,1,0,0,0,8,8.8,+10,1.000,,1.000
2024-10-25,202410250HOU,HOU,Q3,Cam Whitmore,https://www.basketball-reference.com/boxscores/202410250HOU.html,1.27,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.1,+2,.000,,.000
2024-10-25,202410250HOU,HOU,Q3,Reed Sheppard,https://www.basketball-reference.com/boxscores/202410250HOU.html,4.03,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,2.0,+10,,,
2024-10-25,202410250HOU,HOU,Q4,Jabari Smith Jr.,https://www.basketball-reference.com/boxscores/202410250HOU.html,9.78,0,2,0,1,0,0,2,1,3,2,0,0,0,3,0,0.5,+3,.000,,.000
2024-10-25,202410250HOU,HOU,Q4,Jalen Green,https://www.basketball-reference.com/boxscores/202410250HOU.html,4.9,2,5,1,3,0,0,0,1,1,1,0,0,1,1,5,1.9,0,.400,,.333
2024-10-25,202410250HOU,HOU,Q4,Alperen Şengün,https://www.basketball-reference.com/boxscores/202410250HOU.html,5.43,0,0,0,0,0,0,0,2,2,0,0,0,1,2,0,-1.2,0,,,
2024-10-25,202410250HOU,HOU,Q4,Dillon Brooks,https://www.basketball-reference.com/boxscores/202410250HOU.html,6.22,1,1,0,0,2,2,0,1,1,0,0,0,0,1,4,3.6,-3,1.000,1.000,
2024-10-25,202410250HOU,HOU,Q4,Fred VanVleet,https://www.basketball-reference.com/boxscores/202410250HOU.html,9.78,2,3,2,3,0,2,0,1,1,1,1,0,0,0,6,5.9,+3,.667,.000,.667
2024-10-25,202410250HOU,HOU,Q4,Amen Thompson,https://www.basketball-reference.com/boxscores/202410250HOU.html,4.92,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,-0.3,+5,,,
2024-10-25,202410250HOU,HOU,Q4,Tari Eason,https://www.basketball-reference.com/boxscores/202410250HOU.html,3.0,1,2,1,1,0,0,1,1,2,0,0,0,0,0,3,3.0,+4,.500,,1.000
2024-10-25,202410250HOU,HOU,Q4,Cam Whitmore,https://www.basketball-reference.com/boxscores/202410250HOU.html,7.1,4,8,0,2,1,3,1,2,3,0,0,0,0,3,9,4.3,+5,.500,.333,.000
2024-10-25,202410250HOU,HOU,Q4,Reed Sheppard,https://www.basketball-reference.com/boxscores/202410250HOU.html,2.22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7,+2,.000,,.000
2024-10-25,202410250HOU,HOU,Q4,Jeenathan Williams,https://www.basketball-reference.com/boxscores/202410250HOU.html,2.22,1,1,1,1,0,0,0,2,2,0,0,0,0,0,3,3.3,+2,1.000,,1.000
2024-10-25,202410250HOU,HOU,Q4,Aaron Holiday,https://www.basketball-reference.com/boxscores/202410250HOU.html,2.22,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,+2,.000,,.000
2024-10-25,202410250HOU,HOU,Q4,Jae'Sean Tate,https://www.basketball-reference.com/boxscores/202410250HOU.html,2.22,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0.6,+2,,,
